free_flow_speed,confidence,weekend,day,hour,current_speed
36,1.0,False,27,0,36
36,1.0,False,27,1,36
36,1.0,False,27,2,36
36,1.0,False,27,3,36
36,1.0,False,27,4,36
36,1.0,False,27,5,36
35,0.9714285714285712,False,27,6,32
35,0.976240625,False,27,7,25
36,0.99641925,False,27,8,25
35,0.99433025,False,27,9,24
36,0.9995673333333333,False,27,10,22
35,0.99348,False,27,11,24
35,0.9995673333333333,False,27,12,21
35,0.9938533333333334,False,27,13,23
36,0.9953686666666668,False,27,14,24
35,0.9995673333333333,False,27,15,21
36,0.9982693333333332,False,27,16,23
35,0.9995673333333333,False,27,17,23
35,0.9887316666666668,False,27,18,24
36,0.9969613333333333,False,27,19,26
36,1.0,False,27,20,36
36,1.0,False,27,21,36
36,1.0,False,27,22,36
36,1.0,False,27,23,36
36,1.0,False,28,0,36
36,1.0,False,28,1,36
36,1.0,False,28,2,36
36,1.0,False,28,3,36
36,1.0,False,28,4,36
36,1.0,False,28,5,36
35,0.9843023333333332,False,28,6,27
35,0.991389,False,28,7,25
35,0.99348,False,28,8,23
35,0.9927823333333332,False,28,9,24
35,0.9978266666666666,False,28,10,23
35,0.997129,False,28,11,23
35,0.9960266666666668,False,28,12,23
35,0.9995673333333333,False,28,13,24
35,0.9969613333333333,False,28,14,24
35,0.9978266666666666,False,28,15,25
35,0.986539,False,28,16,24
36,0.99436,False,28,17,25
35,0.984109,False,28,18,27
35,0.9974045,False,28,19,32
36,0.9963026666666668,False,28,20,34
36,1.0,False,28,21,36
36,1.0,False,28,22,36
36,1.0,False,28,23,36
